NBS 2.0;DESCRIÇÃO
1.0602.90.00;Serviços de armazenagem não classificados em subposições anteriores
1.0603.00.00;Serviços de apoio ao transporte ferroviário 
1.0604;Serviços de apoio ao transporte rodoviário 
1.0604.10.00;Serviços de estações rodoviárias 
1.0604.2;Serviços de operação de rodovias, pontes e túneis 
1.0604.21.00;Serviços de operação de rodovias 
1.0604.22.00;Serviços de operação de pontes e túneis 
1.0604.30.00;Serviços de estacionamento 
1.0604.40.00;Serviços de reboque para veículos particulares e comerciais 
1.0604.90.00;Serviços de apoio ao transporte rodoviário não classificados em subposições anteriores
1.0605;Serviços de apoio ao transporte aquaviário
1.0605.10.00;Serviços de operação de portos e canais, exceto manuseio de cargas 
1.0605.20.00;Serviços de praticagem e de atracação
1.0605.30.00;Serviços de salvamento de embarcações 
1.0605.40.00;Serviços de navegação de apoio 
1.0605.90.00;Serviços de apoio ao transporte aquaviário não classificados em subposições anteriores
1.0606;Serviços de apoio ao transporte aéreo e aeroespacial 
1.0606.1;Serviços de apoio ao transporte aéreo
1.0606.11.00;Serviços de operação aeroportuária, exceto manuseio de cargas 
1.0606.12.00;Serviços de controle de tráfego aéreo 
1.0606.19.00;Serviços de apoio ao transporte aéreo não classificados em subposições anteriores
1.0606.20.00;Serviços de apoio ao transporte aeroespacial
1.0607.00.00;Serviços de agenciamento de transporte de cargas
1.0608;Serviços de apoio ao transporte multimodal de cargas 
1.0608.10.00;Serviços de coleta e entrega de cargas no transporte multimodal
1.0608.20.00;Serviços de unitização ou desunitização de cargas no transporte multimodal 
1.0608.30.00;Serviços de movimentação de cargas no transporte multimodal 
1.0608.40.00;Serviços de consolidação ou desconsolidação documental de cargas no transporte multimodal 
1.0608.90.00;Serviços de apoio ao transporte multimodal de cargas não classificados em subposições anteriores
1.0609.00.00;Serviços de apoio aos transportes não classificados em posições anteriores
1.07;Serviços postais; serviços de coleta, remessa ou entrega de documentos ou encomendas; serviços de remessas expressas
1.0701.00.00;Serviços postais e de telegrama
1.0702.00.00;Serviços de coleta, transporte, remessa ou entrega de documentos ou encomendas, exceto remessas expressas
1.0703.00.00;Serviços de remessas expressas
1.08;Serviços de transmissão e distribuição de eletricidade; serviços de distribuição de gás e água
1.0801;Serviços de transmissão e distribuição de eletricidade
1.0801.10.00;Serviços de transmissão de eletricidade
1.0801.20.00;Serviços de distribuição de eletricidade
1.0802;Serviços de distribuição de água
1.0802.10.00;Serviços de distribuição de água por meio de tubulações, exceto vapor de água e água quente
1.0802.20.00;Serviços de distribuição de vapor de água, água quente e ar condicionado por meio de tubulações
1.0802.30.00;Serviços de distribuição de água, exceto por meio de tubulações
1.0803.00.00;Serviços de distribuição de gás canalizado
1.09;Serviços financeiros e serviços relacionados
1.0901;Serviços financeiros, exceto bancos de investimento, serviços de seguros e previdência complementar
1.0901.10.00;Serviços de banco central
1.0901.2;Serviços de depósito 
1.0901.21.00;Serviços de depósito para pessoas jurídicas
1.0901.22.00;Serviços de depósito para pessoas físicas
1.0901.29.00;Serviços de depósito para outros depositantes
1.0901.3;Serviços de concessão de crédito 
1.0901.31.00;Serviços de financiamentos imobiliários residenciais
1.0901.32.00;Serviços de financiamentos imobiliários não residenciais
1.0901.33.00;Serviços de empréstimos e financiamentos pessoais
1.0901.34.00;Serviços de empréstimos e financiamentos comerciais 
1.0901.35.00;Serviços de empréstimos e financiamentos industriais
1.0901.36.00;Serviços de empréstimos e financiamentos agropecuários
1.0901.39.00;Serviços de concessão de crédito não classificados em subposições anteriores
1.0901.40.00;Serviços de cartão de crédito 
1.0901.5;Operações de arrendamento mercantil financeiro
1.0901.51;Arrendamento mercantil financeiro de máquinas e equipamentos
1.0901.51.1;Arrendamento mercantil financeiro de equipamentos de transporte
1.0901.51.11;Arrendamento mercantil financeiro de veículos rodoviários automotores para o transporte de passageiros 
1.0901.51.12;Arrendamento mercantil financeiro de veículos rodoviários automotores para o transporte de mercadorias 
1.0901.51.13;Arrendamento mercantil financeiro de veículos e equipamentos ferroviários 
1.0901.51.14;Arrendamento mercantil financeiro de outros equipamentos de transporte terrestre, inclusive de veículos de uso misto 
1.0901.51.15;Arrendamento mercantil financeiro de navios e outras embarcações
1.0901.51.16;Arrendamento mercantil financeiro de aeronaves
1.0901.51.17;Arrendamento mercantil financeiro de contêineres 
1.0901.51.2;Arrendamento mercantil financeiro de outras máquinas e equipamentos 
1.0901.51.21;Arrendamento mercantil financeiro de máquinas e equipamentos agrícolas 
1.0901.51.22;Arrendamento mercantil financeiro de máquinas e equipamentos de construção 
1.0901.51.23;Arrendamento mercantil financeiro de máquinas e equipamentos para escritórios, exceto computadores 
1.0901.51.24;Arrendamento mercantil financeiro de computadores
1.0901.51.25;Arrendamento mercantil financeiro de equipamentos de telecomunicação 
1.0901.51.29;Arrendamento mercantil financeiro de outras máquinas e equipamentos não classificado em subposições anteriores 
1.0901.52;Arrendamento mercantil financeiro de outras mercadorias 
1.0901.52.10;Arrendamento mercantil financeiro de televisões e outros eletroeletrônicos domésticos, bem como seus acessórios 
1.0901.52.20;Arrendamento mercantil financeiro de mídias gravadas 
1.0901.52.30;Arrendamento mercantil financeiro de móveis e eletrodomésticos
1.0901.52.40;Arrendamento mercantil financeiro de equipamentos para diversão e lazer 
1.0901.52.50;Arrendamento mercantil financeiro de artigos de cama, mesa e banho
1.0901.52.90;Arrendamento mercantil financeiro de outras mercadorias não classificado em subposições anteriores
1.0901.90.00;Serviços financeiros, exceto bancos de investimento, serviços de seguros e previdência complementar não classificados em subposições anteriores
1.0902;Serviços de banco de investimento
1.0902.10.00;Serviços de valoração de ativos
1.0902.20.00;Serviços de subscrição de valores mobiliários
1.0902.30.00;Serviços de fusões e aquisições  
1.0902.40.00;Serviços de capital de risco e finanças corporativas 
1.0902.90.00;Serviços de banco de investimento não classificados em subposições anteriores
1.0903;Serviços de seguro e previdência complementar (excluídos os serviços de resseguro), exceto serviços de previdência social compulsória
1.0903.1;Serviços de seguro de vida e de previdência complementar, excluídos os serviços de resseguro  
1.0903.11.00;Serviços de seguro de vida
1.0903.12.00;Serviços de previdência complementar aberta
1.0903.13.00;Serviços de previdência complementar fechada
1.0903.2;Serviços de seguro saúde e de acidentes
1.0903.21.00;Serviços de seguro saúde
1.0903.22.00;Serviços de seguro de acidentes
1.0903.3;Serviços de outros seguros, excluídos os serviços de resseguro
1.0903.31.00;Serviços de seguro de veículos rodoviários
1.0903.32.00;Serviços de seguro de veículos e equipamentos para transporte ferroviário, aquaviário e aéreo 
1.0903.33.00;Serviços de seguro de cargas
1.0903.34.00;Serviços de seguro de outras propriedades
1.0903.35.00;Serviços de seguro por responsabilidade civil
1.0903.36.00;Serviços de seguro de crédito e de caução
1.0903.37.00;Serviços de seguro de viagem 
1.0903.38.00;Serviços de seguro rural
1.0903.39.00;Serviços de outros seguros, excluídos os serviços de resseguro não classificados em subposições anteriores
1.0904;Serviços de resseguro e retrocessão
1.0904.10.00;Serviços de resseguro de vida 
1.0904.2;Serviços de resseguro saúde e de acidentes
1.0904.21.00;Serviços de resseguro saúde
1.0904.22.00;Serviços de resseguro de acidentes
1.0904.3;Serviços de outros resseguros 
1.0904.31.00;Serviços de resseguro de veículos rodoviários 
1.0904.32.00;Serviços de resseguro de veículos e equipamentos para transporte ferroviário, aquaviário e aéreo 
1.0904.33.00;Serviços de resseguro de cargas
1.0904.34.00;Serviços de resseguro de outras propriedades
1.0904.35.00;Serviços de resseguro de responsabilidade civil
1.0904.36.00;Serviços de resseguro de crédito e caução 
1.0904.37.00;Serviços de resseguro rural
1.0904.39.00;Serviços de outros resseguros não classificados em subposições anteriores
1.0904.40.00;Serviços de retrocessão
1.0905;Serviços auxiliares aos serviços financeiros, exceto os relacionados a seguros e previdência complementar
1.0905.1;Serviços de corretagem de títulos, derivativos e commodities 
1.0905.11.00;Serviços de corretagem de títulos
1.0905.12.00;Serviços de corretagem de derivativos e commodities
1.0905.13.00;Serviços de compensação de transações financeiras, inclusive com ativos financeiros (clearinghouse)
1.0905.2;Serviços de gestão e administração de carteiras de ativos, fundos e trust 
1.0905.21.00;Serviços de gestão e administração de carteiras de ativos, exceto fundos de pensão 
1.0905.22.00;Serviços de administração fundos de investimento e fundos de pensão
1.0905.23.00;Serviços de gestão e administração de trust
1.0905.30.00;Serviços de guarda e custódia 
1.0905.40.00;Serviços relacionados à administração de mercados financeiros 
1.0905.50.00;Serviços de consultoria financeira 
1.0905.60.00;Serviços de câmbio 
1.0905.70.00;Serviços de classificação de risco (rating)
1.0905.80.00;Serviços fiduciários 
1.0905.90.00;Serviços auxiliares aos serviços financeiros não classificados em subposições anteriores 
1.0906;Serviços auxiliares a seguros, resseguros e previdência complementar
1.0906.1;Serviços de corretagem e agenciamento de seguros, resseguros e previdência complementar
1.0906.11.00;Serviços de agenciamento e corretagem de seguros, resseguros e previdência complementar, exceto de seguros saúde
1.0906.12.00;Serviços de corretagem de seguros saúde 
1.0906.20.00;Serviços de perícia e avaliação de seguros e resseguros
1.0906.30.00;Serviços atuariais 
1.0906.40.00;Serviços de gestão de fundos de previdência complementar
1.0906.90.00;Serviços auxiliares a seguros, resseguros e previdência complementar não classificados em subposições anteriores
1.0907.00.00;Serviços de seguro de recebíveis
1.0908.00.00;Fomento comercial (factoring)
1.0909;Serviços de holding de ativos financeiros
1.0909.10.00;Serviços de holding de patrimônio de empresas subsidiárias
1.0909.20.00;Serviços de holding de valores mobiliários e outros ativos financeiros e de fundos e entidades financeiras similares
1.0910;Serviços de planos privados de assistência à saúde e serviços relacionados
1.0910.10.00;Serviços de planos privados de assistência à saúde
1.0910.20.00;Serviços de corretagem de planos privados de assistência à saúde
1.0910.90.00;Serviços de planos privados de assistência à saúde e serviços relacionados não classificados em subposições anteriores
1.0911.00.00;Serviços financeiros e serviços relacionados não classificados em posições anteriores
1.10;Serviços imobiliários
1.1001;Serviços imobiliários sob comissão ou contrato
1.1001.1;Serviços de administração e locação de imóveis
1.1001.11.00;Serviços de administração e locação de imóveis residenciais
1.1001.12;Serviços de administração e locação de imóveis não residenciais
1.1001.12.10;Serviços de administração e locação, sublocação, arrendamento, direito de passagem ou permissão de uso, compartilhado ou não, de ferrovia, rodovia, postes, cabos, dutos e condutos de qualquer natureza
1.1001.12.90;Serviços de administração e locação de outros imóveis não residenciais
1.1001.2;Serviços de intermediação na compra e venda de imóveis
1.1001.21.00;Serviços de intermediação na compra e venda de imóveis residenciais
1.1001.22.00;Serviços de intermediação na compra e venda de imóveis não residenciais
1.1001.30.00;Serviços de avaliação de imóveis
1.1001.40.00;Serviços de consultoria imobiliária
1.1001.50.00;Serviços de assessoria de gestão condominial 
1.1001.90.00;Serviços imobiliários não classificados em subposições anteriores
1.1002;Locação de imóveis 
1.1002.10.00;Locação de imóveis residenciais
1.1002.20.00;Locação de imóveis não residenciais
1.11;Arrendamento mercantil operacional, propriedade intelectual, franquias e outros direitos
1.1101;Arrendamento mercantil operacional ou locação de máquinas e equipamentos, sem operador 
1.1101.1;Arrendamento mercantil operacional ou locação de equipamentos de transporte, sem operador
1.1101.11.00;Arrendamento mercantil operacional ou locação de veículos rodoviários automotores para o transporte de até oito passageiros, sem operador 
1.1101.12.00;Arrendamento mercantil operacional ou locação de veículos rodoviários automotores para o transporte de cargas, sem operador 
1.1101.13.00;Arrendamento mercantil operacional ou locação de veículos e equipamentos de transporte ferroviário, sem operador 
1.1101.14.00;Arrendamento mercantil operacional ou locação de outros equipamentos de transporte terrestre, inclusive de veículos de uso misto, sem operador 
1.1101.15.00;Arrendamento mercantil operacional ou locação de navios e outras embarcações, sem tripulação 
1.1101.16.00;Arrendamento mercantil operacional ou locação de aeronaves, sem tripulação 
1.1101.17.00;Arrendamento mercantil operacional ou locação de contêineres 
1.1101.20.00;Arrendamento mercantil operacional ou locação de máquinas e equipamentos agrícolas, sem operador 
1.1101.30.00;Arrendamento mercantil operacional ou locação de máquinas e equipamentos de construção, sem operador 
1.1101.40.00;Arrendamento mercantil operacional ou locação de máquinas e equipamentos para escritórios, exceto computadores, sem operador 
1.1101.50.00;Arrendamento mercantil operacional ou locação de computadores, sem operador
1.1101.60.00;Arrendamento mercantil operacional ou locação de equipamentos de telecomunicação, sem operador 
1.1101.90.00;Arrendamento mercantil operacional ou locação de máquinas e equipamentos, sem operador, não classificado em subposições anteriores
1.1102;Arrendamento mercantil operacional ou locação de outras mercadorias 
1.1102.10.00;Arrendamento mercantil operacional ou locação de televisão e outros eletroeletrônicos, bem como seus acessórios 
1.1102.20.00;Arrendamento mercantil operacional ou locação de mídias gravadas 
1.1102.30.00;Arrendamento mercantil operacional ou locação de móveis e eletrodomésticos
1.1102.40.00;Arrendamento mercantil operacional ou locação de equipamentos para diversão e lazer 
1.1102.50.00;Arrendamento mercantil operacional ou locação de artigos de cama, mesa e banho
1.1102.60.00;Arrendamento mercantil operacional ou locação de roupas e calçados 
1.1102.90.00;Arrendamento mercantil operacional ou locação de outras mercadorias não classificado em subposições anteriores
1.1103;Licenciamento de direitos de autor e de direitos conexos
1.1103.10.00;Licenciamento de direitos de obras literárias
1.1103.2;Licenciamento de direitos sobre programas de computador (software) e bancos de dados
1.1103.21.00;Licenciamento de direitos de produção, distribuição ou comercialização de programas de computador (software)
1.1103.22.00;Licenciamento de direitos de uso de programas de computador (software)
1.1103.23.00;Licenciamento de direitos sobre bancos de dados
1.1103.29.00;Licenciamento de direitos sobre programas de computador (software) e bancos de dados não classificado em subposições anteriores
1.1103.3;Licenciamento de direitos de obras audiovisuais
1.1103.31.00;Licenciamento de direitos de autor de obras cinematográficas
1.1103.32.00;Licenciamento de direitos de autor de obras jornalísticas
1.1103.33.00;Licenciamento de direitos de autor de obras publicitárias
1.1103.34.00;Licenciamento de direitos conexos de artistas intérpretes ou executantes em obras audiovisuais
1.1103.35.00;Licenciamento de direitos conexos de produtores de obras audiovisuais
1.1103.36;Licenciamento de direitos de obras audiovisuais destinadas à televisão 
1.1103.36.10;Licenciamento de direitos de obras audiovisuais sobre transmissões de eventos esportivos
1.1103.36.20;Licenciamento de direitos de obras audiovisuais sobre transmissões de programas televisivos
1.1103.36.90;Licenciamento de direitos de obras audiovisuais sobre outras transmissões televisivas
1.1103.39.00;Licenciamento de direitos de obras audiovisuais não classificado em subposições anteriores
1.1103.4;Licenciamento de direitos de obras musicais e fonogramas
1.1103.41.00;Licenciamento de direitos de autor de obras musicais ou literomusicais
1.1103.42.00;Licenciamento de direitos conexos de artistas intérpretes ou executantes
1.1103.43.00;Licenciamento de direitos conexos de produtores de fonogramas
1.1103.50.00;Licenciamento de direitos relacionados à radiodifusão
1.1103.90.00;Licenciamento de direitos de autor e de direitos conexos não classificado em subposições anteriores 
1.1104;Licenciamento de direitos sobre a propriedade industrial
1.1104.10.00;Licenciamento de direitos sobre patentes
1.1104.20.00;Licenciamento de direitos sobre marcas 
1.1104.30.00;Licenciamento de direitos sobre desenho industrial
1.1104.90.00;Licenciamento de direitos sobre a propriedade industrial não classificado em subposições anteriores
1.1105;Licenciamento de outros direitos 
1.1105.10.00;Licenciamento de direitos sobre cultivares
1.1105.20.00;Licenciamento de direitos sobre topografias de circuitos integrados
1.1105.30.00;Licenciamento de direitos relativos à informação não divulgada
1.1105.4;Exploração de recursos naturais
1.1105.41.00;Exploração de recursos vegetais, inclusive florestais
1.1105.42.00;Exploração de recursos minerais
1.1105.5;Licenciamento de direitos sobre conhecimento tradicional
1.1105.51.00;Licenciamento de direitos sobre conhecimento tradicional associado a recursos genéticos
1.1105.59.00;Licenciamento de direitos sobre conhecimento tradicional não classificado em subposições anteriores
1.1105.60.00;Licenciamento de direitos relativos ao acesso a recursos genéticos, exceto os decorrentes do conhecimento tradicional
1.1105.70.00;Licenciamento de direitos sobre informações relativas à experiência adquirida no setor industrial, comercial ou científico (know-how)
1.1105.90.00;Licenciamento de outros direitos não classificado em subposições anteriores
1.1106;Cessão temporária de direitos de autor e de direitos conexos
1.1106.10.00;Cessão temporária de direitos de obras literárias
1.1106.20.00;Cessão temporária de direitos sobre programas de computador (software)
1.1106.3;Cessão temporária de direitos sobre obras audiovisuais
1.1106.31.00;Cessão temporária de direitos de autor de obras cinematográficas
1.1106.32.00;Cessão temporária de direitos de autor de obras jornalísticas
1.1106.33.00;Cessão temporária de direitos de autor de obras publicitárias
1.1106.34.00;Cessão temporária de direitos conexos de artistas intérpretes ou executantes em obras audiovisuais
1.1106.35.00;Cessão temporária de direitos conexos de produtores de obras audiovisuais
1.1106.36;Cessão temporária de direitos de obras audiovisuais destinadas à televisão
1.1106.36.10;Cessão temporária de direitos de obras audiovisuais sobre transmissões de eventos esportivos
1.1106.36.20;Cessão temporária de direitos de obras audiovisuais sobre transmissões de programas televisivos
1.1106.36.90;Cessão temporária de direitos de obras audiovisuais sobre outras transmissões televisivas
1.1106.39.00;Cessão temporária de direitos de obras audiovisuais não classificada em subposições anteriores
1.1106.4;Cessão temporária de direitos de obras musicais e fonogramas
1.1106.41.00;Cessão temporária de direitos de autor de obras musicais e literomusicais
1.1106.42.00;Cessão temporária de direitos conexos de artistas intérpretes ou executantes
1.1106.43.00;Cessão temporária de direitos conexos de produtores de fonogramas
1.1106.50.00;Cessão temporária de direitos relacionados à radiodifusão
1.1106.90.00;Cessão temporária de direitos de autor e de direitos conexos não classificada em subposições anteriores
1.1107;Cessão definitiva de direitos de autor e de direitos conexos
1.1107.10.00;Cessão definitiva de direitos de obras literárias
1.1107.20.00;Cessão definitiva de direitos sobre programas de computador (software)
1.1107.3;Cessão definitiva de direitos de obras audiovisuais
1.1107.31.00;Cessão definitiva de direitos de obras cinematográficas
1.1107.32.00;Cessão definitiva de direitos de obras jornalísticas
1.1107.33.00;Cessão definitiva de direitos de obras publicitárias
1.1107.39.00;Cessão definitiva de direitos de obras audiovisuais não classificada em subposições anteriores
1.1107.40.00;Cessão definitiva de direitos de obras musicais e fonogramas
1.1107.50.00;Cessão definitiva de direitos relacionados à radiodifusão
1.1107.90.00;Cessão definitiva de direitos de autor e de direitos conexos não classificada em subposições anteriores
1.1108;Cessão definitiva de direitos sobre a propriedade industrial
1.1108.10.00;Cessão definitiva de direitos sobre patentes
1.1108.20.00;Cessão definitiva de direitos sobre marcas
1.1108.30.00;Cessão definitiva de direitos sobre desenho industrial
1.1108.90.00;Cessão definitiva de direitos sobre a propriedade industrial não classificada em subposições anteriores
1.1109;Cessão definitiva de outros direitos
1.1109.10.00;Cessão definitiva de direitos sobre cultivares
1.1109.20.00;Cessão definitiva de direitos sobre topografias de circuitos integrados
1.1109.30.00;Cessão definitiva de direitos relativos à informação não divulgada
1.1109.90.00;Cessão definitiva de outros direitos não classificada em subposições anteriores
1.1110.00.00;Franquia
1.12;Serviços de pesquisa e desenvolvimento
1.1201;Serviços de pesquisa e desenvolvimento em ciências, engenharia e tecnologia
1.1201.1;Serviços de pesquisa e desenvolvimento em ciências 
1.1201.11.00;Serviços de pesquisa e desenvolvimento em ciências físicas
1.1201.12.00;Serviços de pesquisa e desenvolvimento em química e biologia
1.1201.19.00;Serviços de pesquisa e desenvolvimento em ciências não classificadas em subposições anteriores
1.1201.20.00;Serviços de pesquisa e desenvolvimento em biotecnologia
1.1201.3;Serviços de pesquisa e desenvolvimento em engenharia e tecnologia
1.1201.31.00;Serviços de pesquisa e desenvolvimento em Tecnologia da Informação e Comunicação (TIC)
1.1201.32.00;Serviços de pesquisa e desenvolvimento em nanotecnologia
1.1201.33.00;Serviços de pesquisa e desenvolvimento em engenharia e tecnologia nucleares
1.1201.34.00;Serviços de pesquisa e desenvolvimento em engenharia e tecnologia em micro-ondas de potência
1.1201.39.00;Serviços de pesquisa e desenvolvimento em engenharia e tecnologia não classificados em subposições anteriores
1.1201.40.00;Serviços de pesquisa e desenvolvimento em ciências médicas, odontológicas e farmacêuticas
1.1201.50.00;Serviços de pesquisa e desenvolvimento em ciências agrárias
1.1201.90.00;Serviços de pesquisa e desenvolvimento em ciências, engenharia e tecnologia não classificados em subposições anteriores
1.1202;Serviços de pesquisa e desenvolvimento em ciências sociais e humanidades
1.1202.10.00;Serviços de pesquisa e desenvolvimento em psicologia
1.1202.20.00;Serviços de pesquisa e desenvolvimento em ciências econômicas
1.1202.30.00;Serviços de pesquisa e desenvolvimento em direito
1.1202.40.00;Serviços de pesquisa e desenvolvimento em línguas e literatura
1.1202.90.00;Serviços de pesquisa e desenvolvimento em ciências sociais e humanidades não classificadas em subposições anteriores
1.1203.00.00;Serviços de pesquisa e desenvolvimento interdisciplinar
1.13;Serviços jurídicos e contábeis
1.1301;Serviços jurídicos
1.1301.10.00;Serviços de representação e consultoria jurídica criminal
1.1301.20.00;Serviços de representação e consultoria jurídica em outras áreas do direito, exceto consultoria tributária
1.1301.30.00;Serviços de documentação e certificação, exceto os serviços notariais e de registro
1.1301.40.00;Serviços de arbitragem, conciliação e mediação
1.1301.90.00;Serviços jurídicos não classificados em subposições anteriores
1.1302;Serviços de auditoria, contabilidade e serviços relacionados
1.1302.1;Serviços de auditoria
1.1302.11.00;Serviços de auditoria contábil
1.1302.19.00;Serviços de auditoria não classificados em subposições anteriores
1.1302.2;Serviços de contabilidade e serviços relacionados
1.1302.21.00;Serviços de contabilidade
1.1302.22.00;Serviços de escrituração mercantil
1.1302.23.00;Serviços de folha de pagamento
1.1303;Serviços de consultoria tributária
1.1303.10.00;Serviços de consultoria tributária para pessoas jurídicas
1.1303.20.00;Serviços de consultoria tributária para pessoas físicas
1.1304.00.00;Serviços notariais e de registro
1.14;Serviços profissionais, técnicos e empresariais (exceto pesquisa e desenvolvimento, tecnologia da informação e serviços jurídicos e contábeis)
1.1401;Serviços de gestão empresarial, consultoria em gestão empresarial e assessoria empresarial
1.1401.1;Serviços de consultoria em gestão empresarial
1.1401.11.00;Serviços de consultoria em gestão estratégica
1.1401.12.00;Serviços de consultoria em gestão financeira 
1.1401.13.00;Serviços de consultoria em gestão de recursos humanos
1.1401.14.00;Serviços de consultoria em gestão de marketing 
1.1401.15.00;Serviços de consultoria em gestão operacional
1.1401.16.00;Serviços de consultoria em gestão energética
1.1401.17.00;Serviços de consultoria em gestão de cadeia logística
1.1401.18.00;Serviços de consultoria em gestão hospitalar
1.1401.19.00;Serviços de consultoria em gestão empresarial não classificados em subposições anteriores
1.1401.2;Serviços de gestão de negócios
1.1401.21.00;Serviços de gestão em processos de negócios 
1.1401.22.00;Serviços de gestão hospitalar
1.1401.29.00;Serviços de gestão não classificados em subposições anteriores
1.1401.3;Serviços de assessoria empresarial
1.1401.31.00;Serviços de assessoria de imprensa
1.1401.32.00;Serviços de relações públicas
1.1401.39.00;Serviços de assessoria empresarial não classificados em subposições anteriores
1.1402;Serviços de arquitetura, de planejamento urbano e de áreas rurais e de paisagismo 
1.1402.1;Serviços de arquitetura
1.1402.11.00;Serviços de consultoria em arquitetura 
1.1402.12.00;Serviços de arquitetura para projetos de construções residenciais
1.1402.13.00;Serviços de arquitetura para projetos de construções não residenciais  
1.1402.14.00;Serviços de arquitetura para restauração de prédios históricos
1.1402.15.00;Serviços de arquitetura relativos ao acompanhamento e fiscalização da execução de projetos arquitetônicos e urbanísticos
1.1402.2;Serviços de planejamento urbano e de áreas rurais 
1.1402.21.00;Serviços de planejamento urbano 
1.1402.22.00;Serviços de planejamento de áreas rurais 
1.1402.3;Serviços de paisagismo
1.1402.31.00;Serviços de consultoria em paisagismo
1.1402.32.00;Serviços de paisagismo, exceto consultoria
1.1402.90.00;Serviços de arquitetura, de planejamento urbano e de áreas rurais e de paisagismo não classificados em subposições anteriores
1.1403;Serviços de engenharia
1.1403.10.00;Serviços de consultoria em engenharia
1.1403.2;Serviços de engenharia para projetos específicos
1.1403.21;Serviços de engenharia para projetos de construção
1.1403.21.10;Serviços de engenharia para projetos de construção residencial
1.1403.21.20;Serviços de engenharia para projetos de construção não residencial
1.1403.22;Serviços de engenharia para projetos industriais e de fabricação, exceto para projetos de energia
1.1403.22.1;Serviços de engenharia para exploração de minerais, petróleo, gás e biocombustíveis  
1.1403.22.11;Serviços de engenharia para projetos de exploração de minerais
1.1403.22.12;Serviços de engenharia para projetos de exploração de petróleo e gás
1.1403.22.13;Serviços de engenharia para projetos de refino de petróleo e petroquímica
1.1403.22.14;Serviços de engenharia para projetos de unidades de produção de biocombustíveis
1.1403.22.2;Serviços de engenharia para projetos de veículos
1.1403.22.21;Serviços de engenharia para projetos de veículos terrestres
1.1403.22.22;Serviços de engenharia para projetos de embarcações
1.1403.22.23;Serviços de engenharia para projetos de veículos aéreos e aeroespaciais
1.1403.22.90;Serviços de engenharia para outros projetos industriais e de fabricação, exceto para projetos de energia
1.1403.23.00;Serviços de engenharia para projetos de infraestrutura de transportes
1.1403.24.00;Serviços de engenharia para projetos de energia
1.1403.25.00;Serviços de engenharia para projetos de telecomunicações, radiodifusão e televisão
1.1403.26.00;Serviços de engenharia para projetos de gerenciamento de resíduos (perigosos e não perigosos)
1.1403.27.00;Serviços de engenharia para projetos de distribuição de água e rede de esgoto
1.1403.29.00;Serviços de engenharia para outros projetos 
1.1403.30.00;Serviços de gerenciamento de projetos de construção 
1.1403.90.00;Serviços de engenharia não classificados em subposições anteriores
1.1404;Serviços científicos e outros serviços técnicos
1.1404.1;Serviços geológicos, geofísicos e outros de prospecção
1.1404.11.00;Serviços de consultoria geológica e geofísica
1.1404.12.00;Serviços geofísicos
1.1404.13.00;Serviços geoquímicos
1.1404.14.00;Serviços de informações para avaliação e exploração de recursos naturais
1.1404.19.00;Serviços geológicos, geofísicos e outros de prospecção não classificados em subposições anteriores
1.1404.2;Serviços topográficos e cartográficos 
1.1404.21.00;Serviços topográficos 
1.1404.22.00;Serviços cartográficos 
1.1404.30.00;Serviços meteorológicos e de previsão do tempo
1.1404.4;Serviços de análise e exames técnicos
1.1404.41.00;Serviços de análise e de exames técnicos sobre pureza e composição
1.1404.42.00;Serviços de análise e de exames técnicos de propriedades físicas
1.1404.43.00;Serviços de análise e de exames técnicos de sistemas elétricos e mecânicos
1.1404.44.00;Serviços de inspeção técnica de veículos de transporte rodoviário
1.1404.49.00;Serviços de análise e de exames técnicos não classificados em subposições anteriores
1.1405;Serviços veterinários
1.1405.1;Serviços veterinários para animais domésticos 
1.1405.11.00;Serviços hospitalares, com ou sem internação, para animais domésticos
1.1405.12.00;Serviços de atendimento, assistência ou tratamento para animais domésticos
1.1405.2;Serviços veterinários para animais de corte
1.1405.21.00;Serviços hospitalares, com ou sem internação, para animais de corte
1.1405.22.00;Serviços de atendimento, assistência ou tratamento para animais de corte
1.1405.30.00;Serviços funerários, de cremação e de embalsamamento de animais
1.1405.40.00;Serviços de bancos de órgãos, sangue, sêmen, tecidos, óvulos e outros materiais biológicos
1.1405.50.00;Planos de atendimento e assistência médico-veterinária
1.1405.60.00;Serviços de guarda, adestramento, embelezamento e alojamento
1.1405.90.00;Serviços veterinários não classificados em subposições anteriores
1.1406;Serviços de propaganda e de alocação de espaço ou tempo para propaganda
1.1406.1;Serviços de propaganda
1.1406.11.00;Serviços de campanhas publicitárias 
1.1406.12.00;Serviços de marketing direto e mala direta
1.1406.19.00;Serviços de propaganda não classificados em subposições anteriores
1.1406.20.00;Aquisição ou venda de espaço ou tempo para propaganda, sob comissão 
1.1406.3;Venda de espaço ou tempo para propaganda, exceto sob comissão 
1.1406.31.00;Venda de espaço para propaganda em mídia impressa, exceto sob comissão 
1.1406.32.00;Venda de tempo para propaganda em rádio e televisão, exceto sob comissão 
1.1406.33.00;Venda de espaço para propaganda na rede mundial de computadores, exceto sob comissão 
1.1406.34.00;Venda de espaço para propaganda em mídia exterior, exceto sob comissão
1.1406.39.00;Venda de espaço ou tempo para propaganda, exceto sob comissão não classificados em subposições anteriores
1.1407.00.00;Pesquisas de mercado e serviços de pesquisa de opinião pública
1.1408;Serviços fotográficos, videográficos e de processamento de fotografias
